L0_NM,Precision,Recall,F1_Score
5,0.8421,0.8421,0.8421
10,0.9649,0.9649,0.9649
15,1.0,1.0,1.0
20,1.0,1.0,1.0
25,1.0,1.0,1.0
30,0.9298,0.9298,0.9298
35,0.9298,0.9298,0.9298
40,0.9298,0.9298,0.9298
45,0.9298,0.9298,0.9298
50,0.8772,0.8772,0.8772
55,0.8772,0.8772,0.8772
60,0.8772,0.8772,0.8772
65,0.8772,0.8772,0.8772
70,0.8772,0.8772,0.8772
75,0.8772,0.8772,0.8772
80,0.8772,0.8772,0.8772
85,0.8772,0.8772,0.8772
90,0.8772,0.8772,0.8772
95,0.8772,0.8772,0.8772
100,0.8772,0.8772,0.8772
105,0.8772,0.8772,0.8772
110,0.8772,0.8772,0.8772
115,0.8772,0.8772,0.8772
120,0.8772,0.8772,0.8772
125,0.8772,0.8772,0.8772
130,0.8772,0.8772,0.8772
135,0.8772,0.8772,0.8772
140,0.8772,0.8772,0.8772
145,0.8772,0.8772,0.8772
150,0.8772,0.8772,0.8772
