i_idx,j_idx,i_id,j_id,arm_i,arm_j,theta_rad,theta_deg,L_nm,D_nm,P,Psecond,Pmax_over_Psecond
68,276,69,277,0,1,0.5153554944258507,29.52769477947907,4.918618442116205,4.864367936628312,0.563258606533755,0.222806064984323,2.528021876663846
87,294,88,295,1,1,0.5571745335397638,31.923749223998797,5.237777699710759,5.170288716842347,0.5397780676706947,0.22724313435285504,2.375332787095546
188,335,189,336,0,1,0.520795985706058,29.83941196831267,5.876219191409614,5.810035731066547,0.5350687790160461,0.4036460626734036,1.3255889961423424
178,230,179,231,1,0,0.660740839153722,37.85766143544065,6.805880132385445,6.682749813869672,0.46722950845822425,0.2991106244296807,1.5620625624686473
42,179,43,180,1,1,0.4798466802138921,27.493189589619682,9.283247610741846,9.194441341224644,0.4631787339836206,0.31372505710144544,1.4763842527052218
272,334,273,335,0,0,0.48509916574071754,27.79413484226033,10.48707326636202,10.38454903008509,0.4346659891852909,0.2735623912523146,1.588909890703455
226,478,227,479,0,0,0.5415776247198498,31.030112175167357,9.803035832612498,9.683670456864526,0.4339044997306416,0.38308156836098706,1.132668693999297
137,479,138,480,0,0,0.4669614575088608,26.75492071053525,11.08786408954275,10.987399062157376,0.4267017014812999,0.3722530287596647,1.1462679105743112
160,333,161,334,0,0,0.47122141645971866,26.998998379318383,11.088480581788058,10.986173588052035,0.4255329481652329,0.31649058085749465,1.3445359006018458
238,241,239,242,0,0,0.35525372667699057,20.354539194885664,13.05018543814709,12.981668559107767,0.4153346000129062,0.3520426703273069,1.1797848244553835
215,344,216,345,0,0,1.0530853463065886,60.33734581044024,4.335606676877507,4.138026462179164,0.4118091408652684,0.20507165821900505,2.008123133356045
21,44,22,45,1,1,0.3518848577828378,20.161517225517805,13.43776661752036,13.36854451440668,0.4082378989121467,0.3003676321941964,1.3591274663316886
153,354,154,355,0,0,0.475667176350536,27.25372165779076,12.22401147161994,12.109095471101403,0.4009094438004973,0.30120385159724433,1.331023629593471
212,327,213,328,0,1,0.44102997359854484,25.269156125962745,13.028211557781628,12.922881143286315,0.39369492198927414,0.34915705454730755,1.127558263142388
240,359,241,360,1,0,0.8510299674239499,48.76042537254826,8.826514387613498,8.56255621017701,0.37414635913999544,0.32646343879492795,1.1460589906210603
132,315,133,316,0,1,0.39816362443492953,22.81309523575344,14.594575861531597,14.498360874378989,0.374109168779108,0.29890123854074224,1.2516146490577837
283,506,284,507,1,0,0.5364474846069904,30.736176798389746,12.84874207105909,12.695230393145938,0.37383147710567116,0.25318380367547,1.476522082687591
242,307,243,308,0,0,0.5990662438954933,34.323967423966586,12.416439019517245,12.231602806936436,0.367071228446876,0.35381116706968835,1.0374777921426541
180,254,181,255,0,0,1.3380261724736857,76.66325256078575,3.3321891240914145,3.0891235531623913,0.3611639121049441,0.15548272871691612,2.3228555035363896
