i_idx,j_idx,i_id,j_id,arm_i,arm_j,theta_rad,theta_deg,L_nm,D_nm,P,Psecond,Pmax_over_Psecond
478,527,479,528,0,1,0.8582314017632494,49.17303716663071,20.463287652938785,19.841025280040352,0.2081426822126125,0.0,inf
1181,1379,1182,1380,0,1,0.74030237348149,42.41620156400697,22.279817558215036,21.774524871432565,0.20489000467626822,0.0,inf
958,1376,959,1377,0,1,0.8457570722453257,48.45831073299822,21.191275699760244,20.565306232992704,0.20230284739442675,0.0,inf
755,1220,756,1221,1,0,1.1488722528607656,65.82553128860859,17.461025103013696,16.51645580398584,0.2010008690609006,0.0,inf
106,483,107,484,0,1,1.0644648204325486,60.989341650936076,19.068038593609305,18.180465381364716,0.19572174802299053,0.0,inf
860,1318,861,1319,1,0,1.0655117793495772,61.0493279782054,19.61889386105389,18.703907854413107,0.19027772577577717,0.0,inf
823,824,824,825,1,0,1.0468158991753616,59.97813294994053,20.58569124306984,19.65855399667192,0.1834692387834911,0.0,inf
1034,1381,1035,1382,1,0,1.2004821671315327,68.78256155735554,18.909554430879528,17.794349791406407,0.18091492144025229,0.0,inf
527,757,528,758,0,1,1.2628318120136883,72.35493306324251,18.180346053087597,16.99615847423234,0.1803310404901295,0.0,inf
552,845,553,846,1,0,0.8779080967879751,50.30042874631356,23.127767617044267,22.39217795119302,0.17991297205581352,0.0,inf
1057,1128,1058,1129,0,1,1.3576915101113063,77.78999341012118,17.044461755320548,15.765192416648016,0.17968385240089493,0.0,inf
1034,1282,1035,1283,0,1,1.3346398285878913,76.46922934814981,17.611493952603944,16.33317822596002,0.1772431426972989,0.0,inf
663,856,664,857,0,1,1.035570546090646,59.3338216790519,21.478576486086684,20.531619977771868,0.17671915355619525,0.0,inf
1025,1342,1026,1343,1,0,1.1103675200944685,63.61937260982067,20.5734729160879,19.532751912042105,0.17630222595793416,0.0,inf
370,582,371,583,0,1,1.1912784907679357,68.25522974571712,19.553567228606248,18.417683057872868,0.1762115877212976,0.0,inf
298,1252,299,1253,1,0,1.2835529018326937,73.54216405678302,18.465960024180767,17.224193195056245,0.17544438912106491,0.0,inf
613,930,614,931,1,0,1.248083461535073,71.50991482603811,19.010222744470386,17.800173594190415,0.1746335070646588,0.0,inf
777,1097,778,1098,0,1,0.8880115766217883,50.87931549918659,23.640221914534045,22.871099095429315,0.17423735092780612,0.0,inf
418,852,419,853,0,1,1.2335460752125216,70.6769839446047,19.39646343503705,18.189878560114135,0.1728859771570276,0.0,inf
305,1346,306,1347,0,1,1.1194175141309142,64.13789907272758,21.149093090515176,20.062018044143205,0.17031630083298474,0.0,inf
432,1265,433,1266,0,1,1.2843011507569921,73.58503556217052,19.075072625645234,17.790880151441602,0.17010061951412575,0.0,inf
117,1345,118,1346,0,1,1.3933111453844076,79.8308481790652,17.698963222539135,16.3016685614145,0.16999987362087107,0.0,inf
