Noise_Ratio,Total_Particles,Noise_Particles,TP,FP,FN,Precision,Recall,F1_Score
0.0,104,0,86,0,0,1.0,1.0,1.0
0.02,125,21,86,0,0,1.0,1.0,1.0
0.04,146,42,86,2,0,0.9772727272727273,1.0,0.9885057471264368
0.06,168,64,86,8,0,0.9148936170212766,1.0,0.9555555555555556
0.08,189,85,86,10,0,0.8958333333333334,1.0,0.945054945054945
0.1,210,106,86,14,0,0.86,1.0,0.924731182795699
0.12,232,128,86,24,0,0.7818181818181819,1.0,0.8775510204081634
0.14,253,149,86,31,0,0.7350427350427351,1.0,0.8472906403940887
0.16,274,170,86,43,0,0.6666666666666666,1.0,0.8
0.18,296,192,86,49,0,0.6370370370370371,1.0,0.7782805429864253
0.2,317,213,86,63,0,0.5771812080536913,1.0,0.7319148936170213
