Removal_Ratio,Kept_Ratio,Total_Particles,TP,FP,FN,Precision,Recall,F1_Score
0.0,1.0,60,57,0,0,1.0,1.0,1.0
0.05,0.95,57,50,1,7,0.9803921568627451,0.8771929824561403,0.9259259259259259
0.1,0.9,54,46,0,11,1.0,0.8070175438596491,0.8932038834951457
0.15000000000000002,0.85,51,40,0,17,1.0,0.7017543859649122,0.8247422680412371
0.2,0.8,48,33,2,24,0.9428571428571428,0.5789473684210527,0.7173913043478262
0.25,0.75,45,31,2,26,0.9393939393939394,0.543859649122807,0.688888888888889
0.30000000000000004,0.7,42,27,2,30,0.9310344827586207,0.47368421052631576,0.627906976744186
0.35000000000000003,0.6499999999999999,38,22,2,35,0.9166666666666666,0.38596491228070173,0.5432098765432098
0.4,0.6,36,20,2,37,0.9090909090909091,0.3508771929824561,0.5063291139240507
0.45,0.55,33,18,2,39,0.9,0.3157894736842105,0.4675324675324675
0.5,0.5,30,13,2,44,0.8666666666666667,0.22807017543859648,0.3611111111111111
