i_idx,j_idx,i_id,j_id,arm_i,arm_j,theta_rad,theta_deg,L_nm,D_nm,P,Psecond,Pmax_over_Psecond
49,97,20,21,0,1,0.3118159163352054,17.865735991011654,10.5788356492875,10.536030566033759,0.48313944541100684,0.0,inf
17,34,34,29,0,1,0.4557190051907878,26.110775641332594,9.139637360608186,9.060754162998213,0.473737647227842,0.0,inf
92,95,88,87,1,0,0.4148221475757461,23.767558304643245,10.712321537967478,10.635680385258098,0.4494637569319319,0.0,inf
22,91,23,24,0,1,0.6394526918522654,36.63794044141437,8.037210841092588,7.90097514857854,0.4453259606214498,0.0,inf
1,23,66,77,0,1,0.5416841458368553,31.03621538560079,9.375607048810368,9.261401455898909,0.44324740432208765,0.0,inf
10,22,19,23,0,1,0.4826870547530735,27.655931062951193,10.52538735895418,10.423506346837659,0.4345008009612107,0.0,inf
89,97,22,21,1,0,0.41235697282032563,23.62631419539546,11.464163730832006,11.383113418351614,0.43356099516091673,0.0,inf
40,63,36,37,0,1,0.1684526732669671,9.651627225893444,14.85374323336172,14.836187198351967,0.42744593596658237,0.0,inf
64,77,91,90,1,0,0.6006787915419043,34.41635959836969,10.16447512807046,10.012350561794072,0.4103980437036279,0.0,inf
56,90,4,3,1,0,0.3263449411959214,18.69818779597133,13.785164709862055,13.724073839960736,0.4077847253912946,0.0,inf
8,31,11,12,0,1,0.3263449316360618,18.698187248231722,13.78516559355011,13.724074723307,0.40778470985534643,0.0,inf
39,58,40,39,1,0,0.326345042274676,18.698193587357366,13.785165996246658,13.724075082851593,0.4077846729224677,0.0,inf
77,101,90,93,1,0,0.5576563358343852,31.951354462040324,10.883488855304165,10.743012960740412,0.4068993211412441,0.0,inf
44,90,8,3,0,1,0.7110223297933949,40.738578636720455,8.970780204374744,8.783003999212465,0.40608617672520675,0.0,inf
18,41,13,17,0,1,0.25571321186766033,14.651287805751572,14.969698355952612,14.92894595902562,0.4020105268434613,0.0,inf
28,85,41,38,0,1,0.25989480368227974,14.890875368375715,15.010609637245391,14.968399613877342,0.4001224504396757,0.0,inf
18,31,13,12,1,0,0.3264632081366212,18.704963992529354,14.39483600465619,14.330997108287841,0.3955117695793267,0.0,inf
