Noise_Ratio,Total_Particles,Noise_Particles,TP,FP,FN,Precision,Recall,F1_Score
0.0,60,0,57,0,0,1.0,1.0,1.0
0.05,69,9,57,3,0,0.95,1.0,0.9743589743589743
0.1,79,19,57,10,0,0.8507462686567164,1.0,0.9193548387096774
0.15000000000000002,88,28,57,16,0,0.7808219178082192,1.0,0.8769230769230769
0.2,98,38,57,24,0,0.7037037037037037,1.0,0.8260869565217391
0.25,107,47,57,31,0,0.6477272727272727,1.0,0.7862068965517242
0.30000000000000004,117,57,57,39,0,0.59375,1.0,0.7450980392156863
0.35000000000000003,126,66,56,51,1,0.5233644859813084,0.9824561403508771,0.6829268292682926
0.4,136,76,56,60,1,0.4827586206896552,0.9824561403508771,0.6473988439306358
0.45,145,85,56,70,1,0.4444444444444444,0.9824561403508771,0.6120218579234973
0.5,155,95,56,81,1,0.40875912408759124,0.9824561403508771,0.577319587628866
0.55,165,105,55,93,2,0.3716216216216216,0.9649122807017544,0.5365853658536586
0.6000000000000001,174,114,54,102,3,0.34615384615384615,0.9473684210526315,0.5070422535211268
0.65,184,124,54,110,3,0.32926829268292684,0.9473684210526315,0.48868778280542985
0.7000000000000001,193,133,54,119,3,0.31213872832369943,0.9473684210526315,0.46956521739130436
0.75,203,143,54,128,3,0.2967032967032967,0.9473684210526315,0.45188284518828453
0.8,212,152,54,136,3,0.28421052631578947,0.9473684210526315,0.43724696356275305
0.8500000000000001,222,162,54,147,3,0.26865671641791045,0.9473684210526315,0.41860465116279066
0.9,231,171,54,157,3,0.2559241706161137,0.9473684210526315,0.4029850746268656
0.9500000000000001,241,181,54,165,3,0.2465753424657534,0.9473684210526315,0.391304347826087
1.0,251,191,54,175,3,0.23580786026200873,0.9473684210526315,0.3776223776223776
