Noise_Ratio,Total_Particles,Noise_Particles,TP,FP,FN,Precision,Recall,F1_Score
0.0,104,0,86,0,0,1.0,1.0,1.0
0.05,136,32,86,3,0,0.9662921348314607,1.0,0.9828571428571428
0.1,169,65,86,13,0,0.8686868686868687,1.0,0.9297297297297298
0.15000000000000002,202,98,86,17,0,0.8349514563106796,1.0,0.91005291005291
0.2,235,131,85,26,1,0.7657657657657657,0.9883720930232558,0.8629441624365481
0.25,268,164,85,38,1,0.6910569105691057,0.9883720930232558,0.8133971291866029
0.30000000000000004,301,197,85,57,1,0.5985915492957746,0.9883720930232558,0.7456140350877194
0.35000000000000003,333,229,85,67,1,0.5592105263157895,0.9883720930232558,0.7142857142857143
0.4,366,262,85,80,1,0.5151515151515151,0.9883720930232558,0.6772908366533864
0.45,399,295,85,97,1,0.46703296703296704,0.9883720930232558,0.6343283582089552
0.5,432,328,85,116,1,0.4228855721393035,0.9883720930232558,0.5923344947735192
0.55,465,361,85,135,1,0.38636363636363635,0.9883720930232558,0.5555555555555556
0.6000000000000001,498,394,85,154,1,0.35564853556485354,0.9883720930232558,0.5230769230769231
0.65,531,427,85,168,1,0.3359683794466403,0.9883720930232558,0.5014749262536873
0.7000000000000001,563,459,85,184,1,0.3159851301115242,0.9883720930232558,0.4788732394366197
0.75,596,492,85,211,1,0.28716216216216217,0.9883720930232558,0.4450261780104712
0.8,629,525,85,232,1,0.26813880126182965,0.9883720930232558,0.4218362282878412
0.8500000000000001,662,558,85,261,1,0.24566473988439305,0.9883720930232558,0.3935185185185185
0.9,695,591,85,286,1,0.22911051212938005,0.9883720930232558,0.3719912472647702
0.9500000000000001,728,624,85,312,1,0.2141057934508816,0.9883720930232558,0.3519668737060041
1.0,761,657,85,336,1,0.20190023752969122,0.9883720930232558,0.3353057199211046
