i_idx,j_idx,i_id,j_id,arm_i,arm_j,theta_rad,theta_deg,L_nm,D_nm,P,Psecond,Pmax_over_Psecond
238,241,239,242,0,0,0.35525372667699057,20.354539194885664,13.05018543814709,12.981668559107767,0.46590365479865864,0.22643623012523856,2.057549070398205
21,44,22,45,1,1,0.3518848577828378,20.161517225517805,13.43776661752036,13.36854451440668,0.4639983054128028,0.18057859974958929,2.5695088236160615
132,315,133,316,0,1,0.39816362443492953,22.81309523575344,14.594575861531597,14.498360874378989,0.4251357628691577,0.20060809230753027,2.119235360742221
26,519,27,520,0,1,0.342147491400389,19.60360722823092,17.485746935133218,17.400581349510063,0.42029359547167977,0.3678415172759646,1.1425942307549917
212,327,213,328,0,1,0.44102997359854484,25.269156125962745,13.028211557781628,12.922881143286315,0.40886459333878544,0.3281198075023453,1.2460832415180025
137,479,138,480,0,0,0.4669614575088608,26.75492071053525,11.08786408954275,10.987399062157376,0.3925220906963832,0.157216685270637,2.4966948642930946
160,333,161,334,0,0,0.47122141645971866,26.998998379318383,11.088480581788058,10.986173588052035,0.3890021005885341,0.17003752888041326,2.287742612762373
153,354,154,355,0,0,0.475667176350536,27.25372165779076,12.22401147161994,12.109095471101403,0.38608576122780647,0.1291964172315498,2.98836275417647
41,351,42,352,1,1,0.4225639988100114,24.211133705984793,17.740001761035774,17.608310181795122,0.3824202138729327,0.21905028594612447,1.7458101559702557
272,334,273,335,0,0,0.48509916574071754,27.79413484226033,10.48707326636202,10.38454903008509,0.3751376945929693,0.01722002849261531,21.784963640091796
42,179,43,180,1,1,0.4798466802138921,27.493189589619682,9.283247610741846,9.194441341224644,0.37105458211951814,0.039972923892973154,9.282648002257995
165,202,166,203,1,0,0.35496536597325395,20.338017343584134,21.224573639086046,21.113319634243272,0.3688385350916793,0.31397506520212903,1.17473830240064
18,509,19,510,1,0,0.5050745357223834,28.938639236422098,14.22371171739619,14.073006709751445,0.3615626367806169,0.2581323579023485,1.400686995302604
78,324,79,325,1,0,0.5309049498069696,30.418612946544165,13.614886030894578,13.455552910729907,0.3457103260485811,0.16569502166349814,2.086425546029181
261,430,262,431,0,0,0.4022588425787481,23.047733951579644,22.208601215326002,22.059169530012987,0.34283897753290593,0.178603944777813,1.9195487421031194
89,439,90,440,0,0,0.4711691749219017,26.996005159686195,19.844022045044568,19.66097321796208,0.3418297133798943,0.33592766803623136,1.0175693933702012
283,506,284,507,1,0,0.5364474846069904,30.736176798389746,12.84874207105909,12.695230393145938,0.34168029285104157,0.017822686102861453,19.171088514889146
222,295,223,296,1,0,0.45678002563974696,26.171567635035032,20.948740721150195,20.76709376058751,0.33724423451414043,0.2752669306916188,1.2251534670975597
