i_idx,j_idx,i_id,j_id,arm_i,arm_j,theta_rad,theta_deg,L_nm,D_nm,P,Psecond,Pmax_over_Psecond
755,1220,756,1221,1,0,1.1488722528607656,65.82553128860859,17.461025103013696,16.51645580398584,0.610657303909889,0.0,inf
1057,1128,1058,1129,0,1,1.3576915101113063,77.78999341012118,17.044461755320548,15.765192416648016,0.6021656999247165,0.0,inf
1034,1282,1035,1283,0,1,1.3346398285878913,76.46922934814981,17.611493952603944,16.33317822596002,0.5968174905083009,0.0,inf
527,757,528,758,0,1,1.2628318120136883,72.35493306324251,18.180346053087597,16.99615847423234,0.5943438971709082,0.0,inf
106,483,107,484,0,1,1.0644648204325486,60.989341650936076,19.068038593609305,18.180465381364716,0.5937669223911359,0.0,inf
117,1345,118,1346,0,1,1.3933111453844076,79.8308481790652,17.698963222539135,16.3016685614145,0.5917103428830154,0.0,inf
298,1252,299,1253,1,0,1.2835529018326937,73.54216405678302,18.465960024180767,17.224193195056245,0.5894514093901312,0.0,inf
1034,1381,1035,1382,1,0,1.2004821671315327,68.78256155735554,18.909554430879528,17.794349791406407,0.5886645677476662,0.0,inf
860,1318,861,1319,1,0,1.0655117793495772,61.0493279782054,19.61889386105389,18.703907854413107,0.5863293020761607,0.0,inf
613,930,614,931,1,0,1.248083461535073,71.50991482603811,19.010222744470386,17.800173594190415,0.5846679804905476,0.0,inf
478,527,479,528,0,1,0.8582314017632494,49.17303716663071,20.463287652938785,19.841025280040352,0.5835775709984188,0.0,inf
199,615,200,616,1,0,1.4999995530312593,85.94364366020106,17.77380511251889,16.153753575352088,0.5831632221438169,0.0,inf
432,1265,433,1266,0,1,1.2843011507569921,73.58503556217052,19.075072625645234,17.790880151441602,0.5817411865070168,0.0,inf
3,1290,4,1291,0,1,1.5298392701982704,87.65333351573487,17.716614718319892,16.038788232515,0.581588454214398,0.0,inf
370,582,371,583,0,1,1.1912784907679357,68.25522974571712,19.553567228606248,18.417683057872868,0.5808445406702941,0.0,inf
418,852,419,853,0,1,1.2335460752125216,70.6769839446047,19.39646343503705,18.189878560114135,0.5805679429448174,0.0,inf
1203,1218,1204,1219,0,1,1.6125069596422756,92.38984322297456,17.497789027393104,15.66273512565142,0.5775876713527314,0.0,inf
247,1256,248,1257,1,0,1.3491884750063936,77.3028053855581,19.124740586934998,17.706851114655194,0.5772359498525327,0.0,inf
1267,1307,1268,1308,1,0,1.4512232460161738,83.14896712800233,18.601977159043464,17.012053878141643,0.5769718907291608,0.0,inf
991,1261,992,1262,0,1,1.6504625865928233,94.56454045601394,17.298206485573203,15.400620229622081,0.5766262025799516,0.0,inf
867,1109,868,1110,0,1,1.3676543658681364,78.36082299688516,19.199158144067166,17.737439345732366,0.5751941043068587,0.0,inf
289,1333,290,1334,0,1,1.5352652342728907,87.96421835700022,18.278215156153504,16.53526526032079,0.5748360068931195,0.0,inf
823,824,824,825,1,0,1.0468158991753616,59.97813294994053,20.58569124306984,19.65855399667192,0.5743211754364592,0.0,inf
143,596,144,597,0,1,1.2797461928430005,73.32405569783909,19.702501048484436,18.385267776178097,0.5741265068236875,0.0,inf
958,1376,959,1377,0,1,0.8457570722453257,48.45831073299822,21.191275699760244,20.565306232992704,0.5740160548439813,0.0,inf
539,1134,540,1135,0,1,1.2576129205958622,72.05591261126402,19.865071037489745,18.58160935550705,0.5733039450585801,0.0,inf
921,1165,922,1166,0,1,1.4515964843095701,83.17035210696659,19.002663263060473,17.377679566498124,0.5722203117534643,0.0,inf
317,498,318,499,0,1,1.512375301019455,86.6527217882422,18.6608302017067,16.932552130634203,0.5720956376973996,0.0,inf
669,1117,670,1118,0,1,1.625510708727138,93.13490316338428,17.913637448179294,16.0055557164716,0.5720854436252469,0.0,inf
1025,1342,1026,1343,1,0,1.1103675200944685,63.61937260982067,20.5734729160879,19.532751912042105,0.5716190992125171,0.0,inf
55,1150,56,1151,1,0,1.4631041171608172,83.82969090152915,19.195373586669287,17.528481661265207,0.5691993479714652,0.0,inf
334,1191,335,1192,1,0,1.20412105023453,68.99105420129877,20.45228730549674,19.238908271987626,0.5686578592483575,0.0,inf
524,1387,525,1388,0,1,1.4303101680366972,81.95073602315033,19.424902831281226,17.81093284193386,0.56858134566589,0.0,inf
38,370,39,371,0,1,1.28664668042344,73.7194245127807,20.127211556794926,18.76733455780282,0.5684353687406006,0.0,inf
2,865,3,866,0,1,1.3880993511160216,79.53223436379622,19.657277335235946,18.116686883071,0.5683900160881933,0.0,inf
646,669,647,670,0,1,1.6829243520046018,96.42446260965261,17.874139729923023,15.83824627460747,0.5679657158971414,0.0,inf
1071,1234,1072,1235,1,0,1.282013463455344,73.45396073494041,20.215730477385033,18.859490036785424,0.5675825995766366,0.0,inf
747,1269,748,1270,1,0,1.25875376685726,72.1212782871154,20.340668707323232,19.024141019002922,0.5672592340551768,0.0,inf
256,639,257,640,1,0,1.4967408876456552,85.75693588676057,19.17538921589501,17.43495876395035,0.567221069893857,0.0,inf
618,1379,619,1380,1,0,1.440874924832998,82.55605199916052,19.513070550856334,17.86836006578638,0.566870686609572,0.0,inf
150,490,151,491,1,0,1.2153241766528384,69.63294606241934,20.679827670368848,19.430437106978214,0.5652072211876797,0.0,inf
115,1364,116,1365,1,0,1.4093673057691318,80.75079840429505,19.917839588918913,18.309824967762054,0.5639779617976658,0.0,inf
305,1346,306,1347,0,1,1.1194175141309142,64.13789907272758,21.149093090515176,20.062018044143205,0.5637382415692751,0.0,inf
111,794,112,795,0,1,1.6336127382298207,93.59911525937848,18.65474632517928,16.648531086545123,0.563458638552119,0.0,inf
156,949,157,950,0,1,1.567117280752092,89.78920618911299,19.094537763326546,17.19975582894917,0.5633663292140138,0.0,inf
656,938,657,939,1,0,1.343652854748668,76.9856377078033,20.293440884301724,18.80094742190078,0.5632342503318848,0.0,inf
719,795,720,796,0,1,1.241761119855366,71.14767133115124,20.738847877032725,19.431850173667762,0.5631354761150944,0.0,inf
272,1174,273,1175,0,1,1.2398275083196875,71.03688355093905,20.753048437095387,19.449147518837798,0.5630547028714022,0.0,inf
663,856,664,857,0,1,1.035570546090646,59.3338216790519,21.478576486086684,20.531619977771868,0.5630362589448267,0.0,inf
1181,1379,1182,1380,0,1,0.74030237348149,42.41620156400697,22.279817558215036,21.774524871432565,0.5624549538236135,0.0,inf
32,344,33,345,1,0,1.129250717124178,64.70130010333699,21.246839759493454,20.135777107324724,0.5620384580955676,0.0,inf
556,582,557,583,1,0,1.5655789189782312,89.70106455210652,19.26288375147859,17.355032464961685,0.5615787951751755,0.0,inf
442,553,443,554,1,0,1.5328063991275285,87.82333748065253,19.606000733630893,17.742245310224543,0.5598834372867503,0.0,inf
213,234,214,235,0,1,1.451107934584305,83.14236026962662,20.127324901779442,18.40729530884523,0.5589764807067752,0.0,inf
108,299,109,300,1,0,1.5348325551691007,87.93942767046956,19.68306522724989,17.807180082753128,0.5588700952374628,0.0,inf
662,996,663,997,0,1,1.5705334576570025,89.98493870783443,19.52273414898436,17.577267276016077,0.5583182367887656,0.0,inf
195,421,196,422,1,0,1.570032438444869,89.9562324215242,19.59224094598374,17.64105467045926,0.5575698850307272,0.0,inf
209,495,210,496,0,1,1.392748863392768,79.79863179404805,20.612521739867923,18.986489258764102,0.5566090971003684,0.0,inf
829,1010,830,1011,0,1,1.5902573156186597,91.11503252475289,19.66520332909587,17.65757587035913,0.5553931373465769,0.0,inf
190,1177,191,1178,1,0,1.6884598582972936,96.74162375769195,19.209945297029144,17.007998418562796,0.5534664571593838,0.0,inf
384,1355,385,1356,1,0,1.3746899139932052,78.76393021101279,20.977655130914595,19.364446591864002,0.5532168951487888,0.0,inf
287,546,288,547,0,1,1.2056696146001626,69.07978040375386,21.667910635066153,20.37916355000096,0.5532124590018151,0.0,inf
543,1201,544,1202,1,0,1.1549621973875426,66.1744594074617,21.901438268472866,20.704277274791416,0.5525475677111461,0.0,inf
202,289,203,290,0,1,1.5976980165746375,91.54135328614937,19.890043440166043,17.84102416873015,0.5523881939613542,0.0,inf
812,1237,813,1238,0,1,1.539811084710059,88.22467640134766,20.23037126201842,18.290168888917435,0.5523021697529701,0.0,inf
931,1204,932,1205,1,0,1.467363841230211,84.0737551125957,20.66465604469248,18.85999200345841,0.5516934379795687,0.0,inf
970,1149,971,1150,0,1,1.3470524108613442,77.18041792527755,21.314137507233696,19.7388144531841,0.5506236848386169,0.0,inf
505,748,506,749,1,0,1.3133425895633168,75.24898743676037,21.493304771325015,19.98155647296556,0.5501737163322356,0.0,inf
371,830,372,831,1,0,1.4902314699676045,85.38397372672043,20.71202639178866,18.84798744849255,0.549790853913241,0.0,inf
1234,1377,1235,1378,1,0,1.4414894717807818,82.59126294558118,20.979295185920588,19.209530622901987,0.5494892634740469,0.0,inf
405,494,406,495,1,0,1.532335366231678,87.79634928370848,20.550086034892757,18.597750588158867,0.5491151531755362,0.0,inf
1161,1278,1162,1279,1,0,1.67685115407553,96.0764940001692,19.723135245978234,17.49225303377492,0.5488104452803173,0.0,inf
185,685,186,686,0,1,1.511099245957011,86.57960921873786,20.794234345014605,18.87152609317654,0.54759814279312,0.0,inf
1058,1372,1059,1373,0,1,1.748584031678658,100.18648513915694,19.3525399060627,16.979601529927397,0.5475467223257577,0.0,inf
341,1389,342,1390,1,0,1.700569975784795,97.43548237913336,19.69710242740062,17.40798846797112,0.547417820191969,0.0,inf
52,505,53,506,1,0,1.3494484637239539,77.31770164179532,21.57771996366934,19.977366457850746,0.5473111322722399,0.0,inf
271,1242,272,1243,0,1,1.476773055476758,84.61286337745722,20.995684433341875,19.13916483425604,0.547279340539823,0.0,inf
180,1231,181,1232,1,0,1.294814982645483,74.1874337558911,21.806525234583493,20.314814113326122,0.5472633212926928,0.0,inf
552,845,553,846,1,0,0.8779080967879751,50.30042874631356,23.127767617044267,22.39217795119302,0.5470650245838535,0.0,inf
114,1260,115,1261,0,1,1.0552993716411112,60.464200117843426,22.73958019717708,21.699001618034107,0.5459541465931658,0.0,inf
666,991,667,992,0,1,1.5242408031297758,87.33256498096716,20.885116727477495,18.921251341222792,0.5457688738426864,0.0,inf
1236,1326,1237,1327,0,1,1.5076509513263883,86.38203648988555,20.976367394885987,19.045408820518272,0.5457034286400775,0.0,inf
